Farmer_ID,District,Crop_Type,Year,Rainfall_mm,Fertilizer_kg_per_acre,Soil_Health_Index,Yield_ton_per_acre,Average_Price_INR,Temperature_C,Humidity_%,Soil_Moisture_%,Claim_Amount_INR,Fraud_Flag,Transport_Time_days,Storage_Duration_days,Quality_Score,Irrigation_Level_%,Pesticide_Litre_per_acre,Seed_Quality_Index,Sensor_Temperature_C,Sensor_Soil_Moisture_%,NDVI_Index,PH_Value,Expected_Yield_ton_per_acre,Yield_Variance,Market_Demand_Index,Export_Potential_Score,Claim_to_Yield_Ratio,Weather_Anomaly_Flag,Spoilage_Rate_%,Transport_Cost_INR,Revenue_per_Acre,Cost_of_Cultivation_INR,Profit_per_Acre,Sustainability_Score,Humidity_
11,Tamil Nadu,Cotton,2024,1041,58,0.8711206720872187,4.367973765439823,6304,31.56210912295958,65,45,40000,1,5,14,92,58,2.3,0.8,30.319968092068358,46.33471269156903,0.32,5.6,2.84,1.06,1.3,2.12,1.65,0,1.72,2500,24180.0,9000,15180.0,0.62,66.10620042441633
12,Tamil Nadu,Cotton,2024,1185,62,0.8902781882023298,3.4884082233656466,6412,30.374369814216195,65,45,40000,1,5,14,92,86,3.92,0.83,29.34873285800998,43.4639378602745,0.6,7.34,2.84,1.06,0.82,2.12,1.65,0,1.72,2500,24180.0,9000,15180.0,0.75,62.88630553240256
13,Andhra Pradesh,Rice,2022,1016,53,0.797095764251513,3.791817839469633,1932,29.71640927657796,62,42,30000,0,3,12,90,91,1.3,0.97,28.08155028310953,42.89779739428329,0.52,5.89,2.44,1.06,0.7,0.68,4.29,0,1.51,1500,7000.0,7750,-750.0,0.66,62.81238221422612
14,Tamil Nadu,Cotton,2024,1141,61,0.843318512522375,3.989955897137636,6423,31.156684954429352,65,45,40000,1,5,14,92,70,2.55,0.79,29.735566265438507,45.29240273619952,0.67,6.6,2.84,1.06,0.89,2.12,1.65,0,1.72,2500,24180.0,9000,15180.0,0.75,61.543627152742026
15,Karnataka,Maize,2023,781,35,0.6576200379599163,2.780045967018475,1645,26.99376879571623,58,38,20000,1,4,9,85,51,2.3,0.72,27.45643269722372,35.96484830850499,0.36,6.18,1.96,0.84,1.08,0.55,4.46,0,1.19,2000,4480.0,8000,-3520.0,0.57,57.811401018548175
16,Andhra Pradesh,Rice,2022,982,47,0.8640531827135383,3.420535778665075,1745,27.347681152349693,62,42,30000,0,3,12,90,91,1.3,0.97,28.08155028310953,42.89779739428329,0.52,5.89,2.44,1.06,0.7,0.68,4.29,0,1.51,1500,7000.0,7750,-750.0,0.66,62.32589432551586
17,Andhra Pradesh,Rice,2022,1012,53,0.8116639057738478,3.7846682639443094,2245,29.14842616727419,62,42,30000,0,3,12,90,93,4.26,0.73,28.452991550395875,41.206294818356604,0.85,6.2,2.44,1.06,1.18,0.68,4.29,0,1.51,1500,7000.0,7750,-750.0,0.77,57.51823536822427
18,Andhra Pradesh,Rice,2022,924,45,0.8281162621180825,3.6393613569742422,1777,29.347364472083516,62,42,30000,0,3,12,90,73,3.19,0.71,28.10295750249998,44.322518545590704,0.88,7.06,2.44,1.06,0.87,0.68,4.29,0,1.51,1500,7000.0,7750,-750.0,0.8,60.36604278193921
19,Tamil Nadu,Cotton,2024,1145,63,0.921917655183556,4.205044667519362,5972,30.98175789673732,65,45,40000,1,5,14,92,58,2.3,0.8,30.319968092068358,46.33471269156903,0.32,5.6,2.84,1.06,1.3,2.12,1.65,0,1.72,2500,24180.0,9000,15180.0,0.62,61.344146769389745
20,Karnataka,Maize,2023,735,42,0.6582748420035306,3.2031510586766263,1548,26.726638184918716,58,38,20000,1,4,9,85,85,1.74,0.73,26.557292928473224,39.67925327514574,0.81,5.71,1.96,0.84,1.13,0.55,4.46,0,1.19,2000,4480.0,8000,-3520.0,0.69,53.63374970472768
21,Karnataka,Maize,2023,668,35,0.7376661485925793,2.917263712097292,1346,25.510321211182255,58,38,20000,1,4,9,85,51,2.3,0.72,27.45643269722372,35.96484830850499,0.36,6.18,1.96,0.84,1.08,0.55,4.46,0,1.19,2000,4480.0,8000,-3520.0,0.57,62.89960232389945
22,Maharashtra,Sugarcane,2025,823,55,0.805158787254407,3.7804627250923777,2820,31.135103623194897,67,47,35000,0,3,11,89,82,2.09,0.75,32.26461166118716,48.15137118615616,0.89,5.7,2.29,1.01,1.14,1.03,3.53,0,1.44,1500,9900.0,7875,2025.0,0.76,65.22353844974722
23,Maharashtra,Sugarcane,2025,935,54,0.7664834261137001,3.408087849541885,2913,31.45232918559454,67,47,35000,0,3,11,89,64,1.79,0.97,31.03317565785571,47.40985162001283,0.79,7.29,2.29,1.01,0.52,1.03,3.53,0,1.44,1500,9900.0,7875,2025.0,0.78,70.09874445854635
24,Telangana,Wheat,2021,844,45,0.7711255116585369,3.3366443216222827,1738,28.583668965326403,60,40,25000,0,2,10,88,70,1.3,0.96,27.773470692601073,39.358586348000564,0.69,7.03,2.09,1.11,0.52,0.62,4.34,0,1.3,1000,5760.0,7125,-1365.0,0.73,57.54640654763764
25,Maharashtra,Sugarcane,2025,756,59,0.8277602283735226,3.3548156085422254,2755,32.283113218675645,67,47,35000,0,3,11,89,98,1.56,0.94,31.64156012994347,45.952398188955605,0.72,6.52,2.29,1.01,1.46,1.03,3.53,0,1.44,1500,9900.0,7875,2025.0,0.73,68.8150272222393
26,Andhra Pradesh,Rice,2022,1023,49,0.8180370081866354,3.0910020910513305,2049,28.424386903591383,62,42,30000,0,3,12,90,71,4.58,0.85,28.978905520555127,44.391325131162475,0.49,7.09,2.44,1.06,0.66,0.68,4.29,0,1.51,1500,7000.0,7750,-750.0,0.69,64.60227859889686
27,Tamil Nadu,Cotton,2024,1140,60,0.9285286050665504,4.126397032650228,6006,31.94606099517192,65,45,40000,1,5,14,92,58,2.3,0.8,30.319968092068358,46.33471269156903,0.32,5.6,2.84,1.06,1.3,2.12,1.65,0,1.72,2500,24180.0,9000,15180.0,0.62,65.95638740607845
28,Maharashtra,Sugarcane,2025,917,54,0.7876738969937941,3.347446306899111,2747,32.423099277427546,67,47,35000,0,3,11,89,93,1.35,0.82,32.34427109481176,44.60882925719619,0.86,6.79,2.29,1.01,0.53,1.03,3.53,0,1.44,1500,9900.0,7875,2025.0,0.78,66.71576188550158
29,Karnataka,Maize,2023,829,39,0.7249578299976072,2.7509104474161044,1872,25.94890716694398,58,38,20000,1,4,9,85,99,2.24,0.98,26.51588325543031,36.171457926788264,0.65,5.62,1.96,0.84,1.24,0.55,4.46,0,1.19,2000,4480.0,8000,-3520.0,0.64,57.11840914147268
30,Maharashtra,Sugarcane,2025,886,53,0.789298944897886,3.710471278403273,3036,30.407129890481613,67,47,35000,0,3,11,89,82,2.09,0.75,32.26461166118716,48.15137118615616,0.89,5.7,2.29,1.01,1.14,1.03,3.53,0,1.44,1500,9900.0,7875,2025.0,0.76,65.48868266542995
31,Andhra Pradesh,Rice,2022,1027,47,0.8529164220706514,3.2979594515419506,1725,27.611436556737328,62,42,30000,0,3,12,90,87,1.18,0.77,28.475275087984798,39.03036950307731,0.64,7.49,2.44,1.06,1.44,0.68,4.29,0,1.51,1500,7000.0,7750,-750.0,0.74,66.29529144247826
32,Karnataka,Maize,2023,686,37,0.7069081469165748,2.823602276015011,1556,25.983830913538032,58,38,20000,1,4,9,85,85,1.74,0.73,26.557292928473224,39.67925327514574,0.81,5.71,1.96,0.84,1.13,0.55,4.46,0,1.19,2000,4480.0,8000,-3520.0,0.69,61.306194077877294
33,Tamil Nadu,Cotton,2024,1121,58,0.8363511829590001,4.0976418714934635,5907,28.642725493038224,65,45,40000,1,5,14,92,73,4.69,0.77,29.484110543023,42.05518230969978,0.63,7.94,2.84,1.06,1.14,2.12,1.65,0,1.72,2500,24180.0,9000,15180.0,0.78,69.65026910666512
34,Tamil Nadu,Cotton,2024,1193,63,0.8336821867635992,4.196471775673877,6152,28.746268096205224,65,45,40000,1,5,14,92,58,2.3,0.8,30.319968092068358,46.33471269156903,0.32,5.6,2.84,1.06,1.3,2.12,1.65,0,1.72,2500,24180.0,9000,15180.0,0.62,61.24297223485544
35,Telangana,Wheat,2021,704,41,0.7433852118800633,3.1593468079461724,1802,27.14038067477539,60,40,25000,0,2,10,88,96,1.02,0.8,28.02418611659856,37.56204860696855,0.82,7.15,2.09,1.11,0.59,0.62,4.34,0,1.3,1000,5760.0,7125,-1365.0,0.77,62.308674752036445
36,Andhra Pradesh,Rice,2022,878,53,0.7713671964826997,3.8420914150187095,1755,27.69349438117902,62,42,30000,0,3,12,90,73,3.19,0.71,28.10295750249998,44.322518545590704,0.88,7.06,2.44,1.06,0.87,0.68,4.29,0,1.51,1500,7000.0,7750,-750.0,0.8,66.38340456821038
37,Telangana,Wheat,2021,864,40,0.7375359060352462,3.4689177413153978,2025,29.5870616985057,60,40,25000,0,2,10,88,70,1.3,0.96,27.773470692601073,39.358586348000564,0.69,7.03,2.09,1.11,0.52,0.62,4.34,0,1.3,1000,5760.0,7125,-1365.0,0.73,56.8123306616566
38,Tamil Nadu,Cotton,2024,1165,55,0.8991714397168912,3.466235977851866,6373,28.32093498264657,65,45,40000,1,5,14,92,73,4.69,0.77,29.484110543023,42.05518230969978,0.63,7.94,2.84,1.06,1.14,2.12,1.65,0,1.72,2500,24180.0,9000,15180.0,0.78,60.66496267366777
39,Andhra Pradesh,Rice,2022,932,49,0.8234346275029463,3.045861266404633,1727,29.09804555828102,62,42,30000,0,3,12,90,73,3.19,0.71,28.10295750249998,44.322518545590704,0.88,7.06,2.44,1.06,0.87,0.68,4.29,0,1.51,1500,7000.0,7750,-750.0,0.8,64.41120649290059
40,Tamil Nadu,Cotton,2024,1135,60,0.9049910749469972,4.020805684422092,5977,29.641587307958645,65,45,40000,1,5,14,92,72,3.65,0.85,29.073773894709067,44.09525744767596,0.86,6.81,2.84,1.06,1.12,2.12,1.65,0,1.72,2500,24180.0,9000,15180.0,0.81,65.74473113179911
41,Andhra Pradesh,Rice,2022,958,50,0.8613165752257642,3.3474134082254143,1915,30.929514467634426,62,42,30000,0,3,12,90,88,4.64,0.87,28.60175661963354,42.798608743639605,0.52,6.4,2.44,1.06,0.93,0.68,4.29,0,1.51,1500,7000.0,7750,-750.0,0.68,65.41828776758273
42,Karnataka,Maize,2023,724,37,0.7085149532325472,2.509130791078514,1685,25.44815560867221,58,38,20000,1,4,9,85,93,2.12,0.89,26.180579540108816,39.27307532808521,0.83,7.59,1.96,0.84,1.44,0.55,4.46,0,1.19,2000,4480.0,8000,-3520.0,0.76,54.39772376626289
43,Tamil Nadu,Cotton,2024,1085,61,0.9026120844071848,3.9796499344717384,6264,29.591422396182967,65,45,40000,1,5,14,92,89,4.88,0.71,30.816531771933306,45.85218987692573,0.48,5.63,2.84,1.06,1.0,2.12,1.65,0,1.72,2500,24180.0,9000,15180.0,0.66,67.95267311859891
44,Telangana,Wheat,2021,844,48,0.8057081202042456,3.041563210456545,2025,29.877881733101475,60,40,25000,0,2,10,88,76,4.21,0.76,27.373037020799707,41.478948430708144,0.72,5.93,2.09,1.11,1.41,0.62,4.34,0,1.3,1000,5760.0,7125,-1365.0,0.71,57.01627320047744
45,Tamil Nadu,Cotton,2024,1070,64,0.8677850549275786,3.93726341671407,6211,31.462028503575922,65,45,40000,1,5,14,92,73,4.69,0.77,29.484110543023,42.05518230969978,0.63,7.94,2.84,1.06,1.14,2.12,1.65,0,1.72,2500,24180.0,9000,15180.0,0.78,61.636559428657044
46,Andhra Pradesh,Rice,2022,894,52,0.7941084832329631,3.460119158983572,1706,30.26828828379712,62,42,30000,0,3,12,90,63,1.25,0.8,29.75467870676196,41.95510616291318,0.36,5.79,2.44,1.06,1.38,0.68,4.29,0,1.51,1500,7000.0,7750,-750.0,0.61,58.64265797930993
47,Telangana,Wheat,2021,831,45,0.7505045328506526,3.2847661059491537,1502,27.03161130817976,60,40,25000,0,2,10,88,52,4.76,0.79,27.289789744182446,37.96977228456768,0.81,6.85,2.09,1.11,1.16,0.62,4.34,0,1.3,1000,5760.0,7125,-1365.0,0.76,63.14574720231382
48,Maharashtra,Sugarcane,2025,785,57,0.7751442439511799,3.200300488910281,3062,30.683550349560264,67,47,35000,0,3,11,89,57,2.98,0.91,31.50356459165073,49.38329454771996,0.87,5.59,2.29,1.01,0.97,1.03,3.53,0,1.44,1500,9900.0,7875,2025.0,0.75,68.651972206962
49,Maharashtra,Sugarcane,2025,819,54,0.7774731797025909,3.4976675736969316,3207,32.67457287969772,67,47,35000,0,3,11,89,64,1.79,0.97,31.03317565785571,47.40985162001283,0.79,7.29,2.29,1.01,0.52,1.03,3.53,0,1.44,1500,9900.0,7875,2025.0,0.78,67.23065424769119
50,Andhra Pradesh,Rice,2022,1008,52,0.7907227649008056,3.1800672723492984,1973,30.717503956510342,62,42,30000,0,3,12,90,73,3.19,0.71,28.10295750249998,44.322518545590704,0.88,7.06,2.44,1.06,0.87,0.68,4.29,0,1.51,1500,7000.0,7750,-750.0,0.8,60.58830484123502
1,Maharashtra,Sugarcane,2025,846,54,0.8077631954091548,3.139271245896191,2728,30.618688563532945,67,47,35000,0,3,11,89,53,3.49,0.77,31.22694704248118,47.01582255863115,0.5,7.39,2.29,1.01,1.2,1.03,3.53,0,1.44,1500,9900.0,7875,2025.0,0.69,68.44546650625823
2,Andhra Pradesh,Rice,2022,967,52,0.7865513317427973,3.5694435177635,1808,29.493330203619962,62,42,30000,0,3,12,90,58,2.43,0.7,29.87345997747347,44.35227933106268,0.72,6.55,2.44,1.06,1.31,0.68,4.29,0,1.51,1500,7000.0,7750,-750.0,0.74,63.50167350443228
3,Maharashtra,Sugarcane,2025,787,54,0.7533879160246595,3.6874604825135027,2774,31.89694923480148,67,47,35000,0,3,11,89,82,2.09,0.75,32.26461166118716,48.15137118615616,0.89,5.7,2.29,1.01,1.14,1.03,3.53,0,1.44,1500,9900.0,7875,2025.0,0.76,65.64697249457306
4,Karnataka,Maize,2023,800,42,0.6811473171132757,2.856721584783366,1445,26.37753492817693,58,38,20000,1,4,9,85,51,3.39,0.97,27.971300908221203,38.63857435795754,0.4,7.32,1.96,0.84,0.57,0.55,4.46,0,1.19,2000,4480.0,8000,-3520.0,0.62,58.60677194003514
5,Maharashtra,Sugarcane,2025,908,59,0.8280495707546088,3.5208130963105067,2827,31.406160644536875,67,47,35000,0,3,11,89,56,4.09,0.95,32.38187547620493,49.83806332851467,0.78,6.89,2.29,1.01,1.34,1.03,3.53,0,1.44,1500,9900.0,7875,2025.0,0.76,66.81061883844086
6,Karnataka,Maize,2023,706,35,0.6777587172629418,3.105314967357905,1341,26.651174202427008,58,38,20000,1,4,9,85,68,2.04,0.93,26.569680988754936,37.034178746292206,0.31,5.82,1.96,0.84,0.9,0.55,4.46,0,1.19,2000,4480.0,8000,-3520.0,0.55,61.84998356523281
7,Tamil Nadu,Cotton,2024,1108,64,0.8520097214081097,4.388728781955443,6255,30.819702198755813,65,45,40000,1,5,14,92,86,3.92,0.83,29.34873285800998,43.4639378602745,0.6,7.34,2.84,1.06,0.82,2.12,1.65,0,1.72,2500,24180.0,9000,15180.0,0.75,65.30265132634901
8,Maharashtra,Sugarcane,2025,929,58,0.7712680784341227,3.4031974021769793,2740,32.39314423307262,67,47,35000,0,3,11,89,56,4.09,0.95,32.38187547620493,49.83806332851467,0.78,6.89,2.29,1.01,1.34,1.03,3.53,0,1.44,1500,9900.0,7875,2025.0,0.76,66.41032161748161
9,Tamil Nadu,Cotton,2024,1183,60,0.8815173682406813,4.206850148962586,5933,29.838726051044524,65,45,40000,1,5,14,92,89,4.88,0.71,30.816531771933306,45.85218987692573,0.48,5.63,2.84,1.06,1.0,2.12,1.65,0,1.72,2500,24180.0,9000,15180.0,0.66,64.0448544968185
10,Andhra Pradesh,Rice,2022,864,47,0.8675541315682755,3.962649318554875,1716,27.303733641478487,62,42,30000,0,3,12,90,91,1.3,0.97,28.08155028310953,42.89779739428329,0.52,5.89,2.44,1.06,0.7,0.68,4.29,0,1.51,1500,7000.0,7750,-750.0,0.66,62.72427759433466
11,Karnataka,Maize,2023,816,42,0.6958988988017013,3.244409725577273,1452,25.311061376315827,58,38,20000,1,4,9,85,52,3.83,0.77,27.2903455808189,36.591214206090356,0.61,7.89,1.96,0.84,0.57,0.55,4.46,0,1.19,2000,4480.0,8000,-3520.0,0.7,61.039769794008976
12,Karnataka,Maize,2023,795,43,0.7057305368890048,2.4410818487777135,1677,25.009357562503112,58,38,20000,1,4,9,85,77,4.95,0.86,27.181785886376485,40.09534046296507,0.48,6.13,1.96,0.84,0.57,0.55,4.46,0,1.19,2000,4480.0,8000,-3520.0,0.61,58.38401490380787
13,Karnataka,Maize,2023,664,40,0.7360632017890734,2.706392308273522,1887,28.870797552828346,58,38,20000,1,4,9,85,51,2.3,0.72,27.45643269722372,35.96484830850499,0.36,6.18,1.96,0.84,1.08,0.55,4.46,0,1.19,2000,4480.0,8000,-3520.0,0.57,59.616551750805414
14,Maharashtra,Sugarcane,2025,906,56,0.803506971893366,3.1239900611067997,3298,30.02101527423354,67,47,35000,0,3,11,89,73,4.1,0.89,31.479123781333946,44.50483978997029,0.53,6.83,2.29,1.01,1.36,1.03,3.53,0,1.44,1500,9900.0,7875,2025.0,0.68,69.37855766906524
15,Karnataka,Maize,2023,706,35,0.6684462871418856,2.386925014950349,1641,25.412374984054978,58,38,20000,1,4,9,85,77,4.95,0.86,27.181785886376485,40.09534046296507,0.48,6.13,1.96,0.84,0.57,0.55,4.46,0,1.19,2000,4480.0,8000,-3520.0,0.61,58.20168109878732
16,Maharashtra,Sugarcane,2025,817,54,0.7799595911766477,3.4332407749109604,2726,31.258386227237644,67,47,35000,0,3,11,89,82,2.09,0.75,32.26461166118716,48.15137118615616,0.89,5.7,2.29,1.01,1.14,1.03,3.53,0,1.44,1500,9900.0,7875,2025.0,0.76,66.26817056654865
17,Andhra Pradesh,Rice,2022,925,49,0.800993692626861,3.735904613196002,1986,30.229721007267045,62,42,30000,0,3,12,90,71,4.58,0.85,28.978905520555127,44.391325131162475,0.49,7.09,2.44,1.06,0.66,0.68,4.29,0,1.51,1500,7000.0,7750,-750.0,0.69,65.76665377862449
18,Karnataka,Maize,2023,832,44,0.6897318115457598,3.148128095466883,1467,28.84839514305647,58,38,20000,1,4,9,85,77,4.95,0.86,27.181785886376485,40.09534046296507,0.48,6.13,1.96,0.84,0.57,0.55,4.46,0,1.19,2000,4480.0,8000,-3520.0,0.61,57.175060840278924
19,Andhra Pradesh,Rice,2022,979,48,0.8126788905336749,3.1227768896627084,1967,30.160054235167426,62,42,30000,0,3,12,90,63,1.25,0.8,29.75467870676196,41.95510616291318,0.36,5.79,2.44,1.06,1.38,0.68,4.29,0,1.51,1500,7000.0,7750,-750.0,0.61,61.61942850575588
20,Andhra Pradesh,Rice,2022,1004,50,0.8499782022074269,3.876444075875294,2154,29.762240929782564,62,42,30000,0,3,12,90,78,3.74,0.97,28.72725920475859,42.17790347013604,0.69,6.22,2.44,1.06,0.97,0.68,4.29,0,1.51,1500,7000.0,7750,-750.0,0.72,66.90341313341777
21,Tamil Nadu,Cotton,2024,1094,61,0.8649386999049333,4.042925563614253,6300,30.08520266965428,65,45,40000,1,5,14,92,89,4.88,0.71,30.816531771933306,45.85218987692573,0.48,5.63,2.84,1.06,1.0,2.12,1.65,0,1.72,2500,24180.0,9000,15180.0,0.66,60.00237523575885
22,Maharashtra,Sugarcane,2025,864,58,0.796823182844138,3.5039461351385093,3175,30.346820847448733,67,47,35000,0,3,11,89,56,4.09,0.95,32.38187547620493,49.83806332851467,0.78,6.89,2.29,1.01,1.34,1.03,3.53,0,1.44,1500,9900.0,7875,2025.0,0.76,63.854729095767226
23,Maharashtra,Sugarcane,2025,913,50,0.8124975987051053,3.7106240035403038,3257,33.83268317201572,67,47,35000,0,3,11,89,56,4.09,0.95,32.38187547620493,49.83806332851467,0.78,6.89,2.29,1.01,1.34,1.03,3.53,0,1.44,1500,9900.0,7875,2025.0,0.76,65.83963889919725
24,Tamil Nadu,Cotton,2024,1035,60,0.8677725947440169,4.024761271043251,6475,31.033569655782728,65,45,40000,1,5,14,92,86,3.92,0.83,29.34873285800998,43.4639378602745,0.6,7.34,2.84,1.06,0.82,2.12,1.65,0,1.72,2500,24180.0,9000,15180.0,0.75,69.32589909425253
25,Telangana,Wheat,2021,725,46,0.8136564813292333,3.0358658571498354,1629,28.555797541337046,60,40,25000,0,2,10,88,70,1.14,0.93,27.99449701178477,42.402508342979985,0.85,7.56,2.09,1.11,0.67,0.62,4.34,0,1.3,1000,5760.0,7125,-1365.0,0.79,55.700297057474714
26,Telangana,Wheat,2021,742,42,0.7887453604234075,3.52510733142266,1862,29.036143382155398,60,40,25000,0,2,10,88,70,1.14,0.93,27.99449701178477,42.402508342979985,0.85,7.56,2.09,1.11,0.67,0.62,4.34,0,1.3,1000,5760.0,7125,-1365.0,0.79,55.09485433628498
27,Karnataka,Maize,2023,686,42,0.6794044679220971,2.6630592121950905,1591,27.896413317092556,58,38,20000,1,4,9,85,64,2.76,0.84,27.94356416544192,36.45111374540271,0.41,6.98,1.96,0.84,0.6,0.55,4.46,0,1.19,2000,4480.0,8000,-3520.0,0.61,53.526838359772285
28,Andhra Pradesh,Rice,2022,918,49,0.8414059199789827,3.0342281108205293,2070,29.548926319157946,62,42,30000,0,3,12,90,88,4.64,0.87,28.60175661963354,42.798608743639605,0.52,6.4,2.44,1.06,0.93,0.68,4.29,0,1.51,1500,7000.0,7750,-750.0,0.68,57.88543410613618
29,Karnataka,Maize,2023,807,43,0.7027647730144786,3.1306545065652496,1328,28.922307200719953,58,38,20000,1,4,9,85,68,2.04,0.93,26.569680988754936,37.034178746292206,0.31,5.82,1.96,0.84,0.9,0.55,4.46,0,1.19,2000,4480.0,8000,-3520.0,0.55,53.375967732062605
30,Andhra Pradesh,Rice,2022,860,49,0.8234455891257246,3.345192144881276,1848,30.6134552505441,62,42,30000,0,3,12,90,58,2.43,0.7,29.87345997747347,44.35227933106268,0.72,6.55,2.44,1.06,1.31,0.68,4.29,0,1.51,1500,7000.0,7750,-750.0,0.74,61.79781326856505
31,Maharashtra,Sugarcane,2025,823,58,0.7981087948387586,3.57383452320134,2995,32.586659676468656,67,47,35000,0,3,11,89,73,4.1,0.89,31.479123781333946,44.50483978997029,0.53,6.83,2.29,1.01,1.36,1.03,3.53,0,1.44,1500,9900.0,7875,2025.0,0.68,67.80757207227327
32,Andhra Pradesh,Rice,2022,953,54,0.8197011948821249,3.3627578946659455,1710,29.7727008458277,62,42,30000,0,3,12,90,63,1.25,0.8,29.75467870676196,41.95510616291318,0.36,5.79,2.44,1.06,1.38,0.68,4.29,0,1.51,1500,7000.0,7750,-750.0,0.61,59.71686971069004
33,Tamil Nadu,Cotton,2024,1037,58,0.906535628106624,4.261068019974721,6411,28.20638322663484,65,45,40000,1,5,14,92,74,3.17,0.96,30.670604991178475,43.4234945249808,0.74,7.24,2.84,1.06,0.89,2.12,1.65,0,1.72,2500,24180.0,9000,15180.0,0.79,63.98287383975636
34,Karnataka,Maize,2023,793,43,0.6602981479331315,2.5195105250809586,1412,27.679669858200157,58,38,20000,1,4,9,85,77,4.95,0.86,27.181785886376485,40.09534046296507,0.48,6.13,1.96,0.84,0.57,0.55,4.46,0,1.19,2000,4480.0,8000,-3520.0,0.61,53.9169933511143
35,Maharashtra,Sugarcane,2025,949,54,0.7834362811310482,3.7745472651988696,2886,30.176661750840402,67,47,35000,0,3,11,89,98,1.56,0.94,31.64156012994347,45.952398188955605,0.72,6.52,2.29,1.01,1.46,1.03,3.53,0,1.44,1500,9900.0,7875,2025.0,0.73,65.36370463828422
36,Tamil Nadu,Cotton,2024,1022,64,0.8375503363803889,4.179758774788031,6126,30.353055027879723,65,45,40000,1,5,14,92,86,3.92,0.83,29.34873285800998,43.4639378602745,0.6,7.34,2.84,1.06,0.82,2.12,1.65,0,1.72,2500,24180.0,9000,15180.0,0.75,65.22519191634524
